Provider,Provider ID,Provider Name,Provider Parent Provider,Provider Description,Provider Eligibility,Provider Hours,Provider Intake / Application Process,Provider Languages,Provider Program Fees,Provider Shelter Requirements,Provider Volunteer Opportunities,Provider Website Address,Address Type,Address Line1,Address Line2,Address City,Address Province,Address Postal Code,Address County,Address Is Primary Address,Contact Name,Contact Title,Contact Email,Contact Telephone Number,Contact Is Primary Contact,Telephone Number,Telephone Is Primary Telephone,Service Code,Service Code Description,Service Code Type Service,Service Code Out Of Resource,"Geography Served by State, State Name"
ICFH - CHILD & FAMILY COUNSELING - INFANT MENTAL HEALTH PROGRAMS(133),133,ICFH - CHILD & FAMILY COUNSELING - INFANT MENTAL HEALTH PROGRAMS,INSTITUTE FOR CHILD AND FAMILY HEALTH(108),"This program focuses on providing high quality assessment, treatment and consultation services to children ages 0 to 5 years of age and their families. The program offers parent-child psychotherapy that is conducted by therapists trained in early child development and dyadic therapy.  In addition to serving the Medicaid population, ICFH has funding from United Way for mental health services of young children and their families.",This program serves both uninsured (funded under UW 0-5 Grant) and Medicaid clients.,Call for information.,"Referrals accepted, call for information.","English, Spanish",Free,,"Yes, call for information.",icfhinc.org,Mailing,15490 NW 7th Avenue,ICFH- Infant Mental Health Program,Miami,FL ,33169,Miami-dade,No,"Maite Schenker, Ph.D.",Coordinator of Infant Mental Health Programs,mschenker@icfhinc.org,305-685-0381 x2004,Yes,305-558-2480,Yes,PH-6100,Parenting Education,Primary Services,No,Florida
ICFH - CHILD & FAMILY COUNSELING - INFANT MENTAL HEALTH PROGRAMS(133),133,ICFH - CHILD & FAMILY COUNSELING - INFANT MENTAL HEALTH PROGRAMS,INSTITUTE FOR CHILD AND FAMILY HEALTH(108),"This program focuses on providing high quality assessment, treatment and consultation services to children ages 0 to 5 years of age and their families. The program offers parent-child psychotherapy that is conducted by therapists trained in early child development and dyadic therapy.  In addition to serving the Medicaid population, ICFH has funding from United Way for mental health services of young children and their families.",This program serves both uninsured (funded under UW 0-5 Grant) and Medicaid clients.,Call for information.,"Referrals accepted, call for information.","English, Spanish",Free,,"Yes, call for information.",icfhinc.org,Mailing,15490 NW 7th Avenue,ICFH- Infant Mental Health Program,Miami,FL ,33169,Miami-dade,No,"Maite Schenker, Ph.D.",Coordinator of Infant Mental Health Programs,mschenker@icfhinc.org,305-685-0381 x2004,Yes,305-274-3172,No,PH-6100,Parenting Education,Primary Services,No,Florida
ICFH - CHILD & FAMILY COUNSELING - INFANT MENTAL HEALTH PROGRAMS(133),133,ICFH - CHILD & FAMILY COUNSELING - INFANT MENTAL HEALTH PROGRAMS,INSTITUTE FOR CHILD AND FAMILY HEALTH(108),"This program focuses on providing high quality assessment, treatment and consultation services to children ages 0 to 5 years of age and their families. The program offers parent-child psychotherapy that is conducted by therapists trained in early child development and dyadic therapy.  In addition to serving the Medicaid population, ICFH has funding from United Way for mental health services of young children and their families.",This program serves both uninsured (funded under UW 0-5 Grant) and Medicaid clients.,Call for information.,"Referrals accepted, call for information.","English, Spanish",Free,,"Yes, call for information.",icfhinc.org,Mailing,15490 NW 7th Avenue,ICFH- Infant Mental Health Program,Miami,FL ,33169,Miami-dade,No,"Maite Schenker, Ph.D.",Coordinator of Infant Mental Health Programs,mschenker@icfhinc.org,305-685-0381 x2004,Yes,305-558-2480,Yes,P,Individual and Family Life,Primary Services,No,Florida
ICFH - CHILD & FAMILY COUNSELING - INFANT MENTAL HEALTH PROGRAMS(133),133,ICFH - CHILD & FAMILY COUNSELING - INFANT MENTAL HEALTH PROGRAMS,INSTITUTE FOR CHILD AND FAMILY HEALTH(108),"This program focuses on providing high quality assessment, treatment and consultation services to children ages 0 to 5 years of age and their families. The program offers parent-child psychotherapy that is conducted by therapists trained in early child development and dyadic therapy.  In addition to serving the Medicaid population, ICFH has funding from United Way for mental health services of young children and their families.",This program serves both uninsured (funded under UW 0-5 Grant) and Medicaid clients.,Call for information.,"Referrals accepted, call for information.","English, Spanish",Free,,"Yes, call for information.",icfhinc.org,Mailing,15490 NW 7th Avenue,ICFH- Infant Mental Health Program,Miami,FL ,33169,Miami-dade,No,"Maite Schenker, Ph.D.",Coordinator of Infant Mental Health Programs,mschenker@icfhinc.org,305-685-0381 x2004,Yes,305-274-3172,No,P,Individual and Family Life,Primary Services,No,Florida
ICFH - CHILD & FAMILY COUNSELING - INFANT MENTAL HEALTH PROGRAMS(133),133,ICFH - CHILD & FAMILY COUNSELING - INFANT MENTAL HEALTH PROGRAMS,INSTITUTE FOR CHILD AND FAMILY HEALTH(108),"This program focuses on providing high quality assessment, treatment and consultation services to children ages 0 to 5 years of age and their families. The program offers parent-child psychotherapy that is conducted by therapists trained in early child development and dyadic therapy.  In addition to serving the Medicaid population, ICFH has funding from United Way for mental health services of young children and their families.",This program serves both uninsured (funded under UW 0-5 Grant) and Medicaid clients.,Call for information.,"Referrals accepted, call for information.","English, Spanish",Free,,"Yes, call for information.",icfhinc.org,Mailing,15490 NW 7th Avenue,ICFH- Infant Mental Health Program,Miami,FL ,33169,Miami-dade,No,"Maite Schenker, Ph.D.",Coordinator of Infant Mental Health Programs,mschenker@icfhinc.org,305-685-0381 x2004,Yes,305-558-2480,Yes,PH-6100.6700,Parenting Materials,Primary Services,No,Florida
ICFH - CHILD & FAMILY COUNSELING - INFANT MENTAL HEALTH PROGRAMS(133),133,ICFH - CHILD & FAMILY COUNSELING - INFANT MENTAL HEALTH PROGRAMS,INSTITUTE FOR CHILD AND FAMILY HEALTH(108),"This program focuses on providing high quality assessment, treatment and consultation services to children ages 0 to 5 years of age and their families. The program offers parent-child psychotherapy that is conducted by therapists trained in early child development and dyadic therapy.  In addition to serving the Medicaid population, ICFH has funding from United Way for mental health services of young children and their families.",This program serves both uninsured (funded under UW 0-5 Grant) and Medicaid clients.,Call for information.,"Referrals accepted, call for information.","English, Spanish",Free,,"Yes, call for information.",icfhinc.org,Mailing,15490 NW 7th Avenue,ICFH- Infant Mental Health Program,Miami,FL ,33169,Miami-dade,No,"Maite Schenker, Ph.D.",Coordinator of Infant Mental Health Programs,mschenker@icfhinc.org,305-685-0381 x2004,Yes,305-274-3172,No,PH-6100.6700,Parenting Materials,Primary Services,No,Florida
ICFH - CHILD & FAMILY COUNSELING - INFANT MENTAL HEALTH PROGRAMS(133),133,ICFH - CHILD & FAMILY COUNSELING - INFANT MENTAL HEALTH PROGRAMS,INSTITUTE FOR CHILD AND FAMILY HEALTH(108),"This program focuses on providing high quality assessment, treatment and consultation services to children ages 0 to 5 years of age and their families. The program offers parent-child psychotherapy that is conducted by therapists trained in early child development and dyadic therapy.  In addition to serving the Medicaid population, ICFH has funding from United Way for mental health services of young children and their families.",This program serves both uninsured (funded under UW 0-5 Grant) and Medicaid clients.,Call for information.,"Referrals accepted, call for information.","English, Spanish",Free,,"Yes, call for information.",icfhinc.org,Mailing,15490 NW 7th Avenue,ICFH- Infant Mental Health Program,Miami,FL ,33169,Miami-dade,No,"Maite Schenker, Ph.D.",Coordinator of Infant Mental Health Programs,mschenker@icfhinc.org,305-685-0381 x2004,Yes,305-558-2480,Yes,R,Mental Health and Substance Abuse Services,Primary Services,No,Florida
ICFH - CHILD & FAMILY COUNSELING - INFANT MENTAL HEALTH PROGRAMS(133),133,ICFH - CHILD & FAMILY COUNSELING - INFANT MENTAL HEALTH PROGRAMS,INSTITUTE FOR CHILD AND FAMILY HEALTH(108),"This program focuses on providing high quality assessment, treatment and consultation services to children ages 0 to 5 years of age and their families. The program offers parent-child psychotherapy that is conducted by therapists trained in early child development and dyadic therapy.  In addition to serving the Medicaid population, ICFH has funding from United Way for mental health services of young children and their families.",This program serves both uninsured (funded under UW 0-5 Grant) and Medicaid clients.,Call for information.,"Referrals accepted, call for information.","English, Spanish",Free,,"Yes, call for information.",icfhinc.org,Mailing,15490 NW 7th Avenue,ICFH- Infant Mental Health Program,Miami,FL ,33169,Miami-dade,No,"Maite Schenker, Ph.D.",Coordinator of Infant Mental Health Programs,mschenker@icfhinc.org,305-685-0381 x2004,Yes,305-274-3172,No,R,Mental Health and Substance Abuse Services,Primary Services,No,Florida
GIRL SCOUTS - DECISIONS FOR YOUR LIFE(140),140,GIRL SCOUTS - DECISIONS FOR YOUR LIFE,"GIRL SCOUTS COUNCIL OF TROPICAL FLORIDA, INC.(136)","Decisions For Your Life, co-sponsored by the state of Florida, Miami-Dade County and the United Way, is open to girls ages 5-17 and delivers prevention program activities in a community-based setting. This is a prevention program that operates in 16 family housing developments throughout Miami-Dade County and serves to identify key components dealing with the underlying causes of teen pregnancy, provides opportunities for family abstinence education and helps reduce delinquency and school drop-out rates.",Girls ages 5-17.,Call for information.,Call for information.,"English, Spanish, Creole",Call for information.,,"Yes, call for information.",http://www.girlscoutsfl.org/programs/decisions.html,Physical,11347 SW 160th Street,Camp Choee,Miami,FL ,33157,Miami-dade,Yes,Shenea Reid,Decisions for Your Life Manager,sreed@girlscoutsfl.org,305-253-4841 x224,Yes,305-253-2132,No,FN-1500.3600,Juvenile Delinquency Prevention,Primary Services,No,Florida
GIRL SCOUTS - DECISIONS FOR YOUR LIFE(140),140,GIRL SCOUTS - DECISIONS FOR YOUR LIFE,"GIRL SCOUTS COUNCIL OF TROPICAL FLORIDA, INC.(136)","Decisions For Your Life, co-sponsored by the state of Florida, Miami-Dade County and the United Way, is open to girls ages 5-17 and delivers prevention program activities in a community-based setting. This is a prevention program that operates in 16 family housing developments throughout Miami-Dade County and serves to identify key components dealing with the underlying causes of teen pregnancy, provides opportunities for family abstinence education and helps reduce delinquency and school drop-out rates.",Girls ages 5-17.,Call for information.,Call for information.,"English, Spanish, Creole",Call for information.,,"Yes, call for information.",http://www.girlscoutsfl.org/programs/decisions.html,Physical,11347 SW 160th Street,Camp Choee,Miami,FL ,33157,Miami-dade,Yes,Sally Boggess,Chief Operating Officer,sboggess@girlscoutsfl.org,305-253-4841,No,305-253-2132,No,FN-1500.3600,Juvenile Delinquency Prevention,Primary Services,No,Florida
GIRL SCOUTS - DECISIONS FOR YOUR LIFE(140),140,GIRL SCOUTS - DECISIONS FOR YOUR LIFE,"GIRL SCOUTS COUNCIL OF TROPICAL FLORIDA, INC.(136)","Decisions For Your Life, co-sponsored by the state of Florida, Miami-Dade County and the United Way, is open to girls ages 5-17 and delivers prevention program activities in a community-based setting. This is a prevention program that operates in 16 family housing developments throughout Miami-Dade County and serves to identify key components dealing with the underlying causes of teen pregnancy, provides opportunities for family abstinence education and helps reduce delinquency and school drop-out rates.",Girls ages 5-17.,Call for information.,Call for information.,"English, Spanish, Creole",Call for information.,,"Yes, call for information.",http://www.girlscoutsfl.org/programs/decisions.html,Physical,11347 SW 160th Street,Camp Choee,Miami,FL ,33157,Miami-dade,Yes,Shenea Reid,Decisions for Your Life Manager,sreed@girlscoutsfl.org,305-253-4841 x224,Yes,305-253-4841,Yes,FN-1500.3600,Juvenile Delinquency Prevention,Primary Services,No,Florida
GIRL SCOUTS - DECISIONS FOR YOUR LIFE(140),140,GIRL SCOUTS - DECISIONS FOR YOUR LIFE,"GIRL SCOUTS COUNCIL OF TROPICAL FLORIDA, INC.(136)","Decisions For Your Life, co-sponsored by the state of Florida, Miami-Dade County and the United Way, is open to girls ages 5-17 and delivers prevention program activities in a community-based setting. This is a prevention program that operates in 16 family housing developments throughout Miami-Dade County and serves to identify key components dealing with the underlying causes of teen pregnancy, provides opportunities for family abstinence education and helps reduce delinquency and school drop-out rates.",Girls ages 5-17.,Call for information.,Call for information.,"English, Spanish, Creole",Call for information.,,"Yes, call for information.",http://www.girlscoutsfl.org/programs/decisions.html,Physical,11347 SW 160th Street,Camp Choee,Miami,FL ,33157,Miami-dade,Yes,Sally Boggess,Chief Operating Officer,sboggess@girlscoutsfl.org,305-253-4841,No,305-253-4841,Yes,FN-1500.3600,Juvenile Delinquency Prevention,Primary Services,No,Florida
GIRL SCOUTS - DECISIONS FOR YOUR LIFE(140),140,GIRL SCOUTS - DECISIONS FOR YOUR LIFE,"GIRL SCOUTS COUNCIL OF TROPICAL FLORIDA, INC.(136)","Decisions For Your Life, co-sponsored by the state of Florida, Miami-Dade County and the United Way, is open to girls ages 5-17 and delivers prevention program activities in a community-based setting. This is a prevention program that operates in 16 family housing developments throughout Miami-Dade County and serves to identify key components dealing with the underlying causes of teen pregnancy, provides opportunities for family abstinence education and helps reduce delinquency and school drop-out rates.",Girls ages 5-17.,Call for information.,Call for information.,"English, Spanish, Creole",Call for information.,,"Yes, call for information.",http://www.girlscoutsfl.org/programs/decisions.html,Physical,11347 SW 160th Street,Camp Choee,Miami,FL ,33157,Miami-dade,Yes,Shenea Reid,Decisions for Your Life Manager,sreed@girlscoutsfl.org,305-253-4841 x224,Yes,800-282-9576,No,FN-1500.3600,Juvenile Delinquency Prevention,Primary Services,No,Florida
GIRL SCOUTS - DECISIONS FOR YOUR LIFE(140),140,GIRL SCOUTS - DECISIONS FOR YOUR LIFE,"GIRL SCOUTS COUNCIL OF TROPICAL FLORIDA, INC.(136)","Decisions For Your Life, co-sponsored by the state of Florida, Miami-Dade County and the United Way, is open to girls ages 5-17 and delivers prevention program activities in a community-based setting. This is a prevention program that operates in 16 family housing developments throughout Miami-Dade County and serves to identify key components dealing with the underlying causes of teen pregnancy, provides opportunities for family abstinence education and helps reduce delinquency and school drop-out rates.",Girls ages 5-17.,Call for information.,Call for information.,"English, Spanish, Creole",Call for information.,,"Yes, call for information.",http://www.girlscoutsfl.org/programs/decisions.html,Physical,11347 SW 160th Street,Camp Choee,Miami,FL ,33157,Miami-dade,Yes,Sally Boggess,Chief Operating Officer,sboggess@girlscoutsfl.org,305-253-4841,No,800-282-9576,No,FN-1500.3600,Juvenile Delinquency Prevention,Primary Services,No,Florida
MIAMI JEWISH HEALTH SYSTEMS - PACE PROGRAM(889),889,MIAMI JEWISH HEALTH SYSTEMS - PACE PROGRAM,MIAMI JEWISH HEALTH SYSTEMS(881),"The Florida Program of All Inclusive Care for the Elderly (PACE) is a comprehensive program for Medicaid only participants or those who have both Medicare and Medicaid. This program is responsible for all primary acute and long-term care services at home or in healthcare facilities. PACE is redefining the patient experience for adults 55 years and older through our determination and vision to manage a member�??s medical needs �?? not in an institution, but at home.",Seniors 55 years or older.,"8:00am-5:00pm, Mon-Fri",Call for information.,"English, Spanish",Call for information.,,"Yes, call for information.",http://miamijewishhealthsystems.org,Mailing,5200 NE Second Avenue,2nd Floor,Miami,FL ,33137,Miami-dade,No,Jeffrey P. Freimark,President and Chief Executive Officer,info@mjhha.org,305-751-8626,Yes,305-762-3847,No,LT-2800,Home Health Care,Primary Services,No,Florida
MIAMI JEWISH HEALTH SYSTEMS - PACE PROGRAM(889),889,MIAMI JEWISH HEALTH SYSTEMS - PACE PROGRAM,MIAMI JEWISH HEALTH SYSTEMS(881),"The Florida Program of All Inclusive Care for the Elderly (PACE) is a comprehensive program for Medicaid only participants or those who have both Medicare and Medicaid. This program is responsible for all primary acute and long-term care services at home or in healthcare facilities. PACE is redefining the patient experience for adults 55 years and older through our determination and vision to manage a member�??s medical needs �?? not in an institution, but at home.",Seniors 55 years or older.,"8:00am-5:00pm, Mon-Fri",Call for information.,"English, Spanish",Call for information.,,"Yes, call for information.",http://miamijewishhealthsystems.org,Physical,5200 NE Second Avenue,2nd Floor,Miami,FL ,33137,Miami-dade,Yes,Jeffrey P. Freimark,President and Chief Executive Officer,info@mjhha.org,305-751-8626,Yes,305-762-3847,No,LT-2800,Home Health Care,Primary Services,No,Florida
MIAMI JEWISH HEALTH SYSTEMS - PACE PROGRAM(889),889,MIAMI JEWISH HEALTH SYSTEMS - PACE PROGRAM,MIAMI JEWISH HEALTH SYSTEMS(881),"The Florida Program of All Inclusive Care for the Elderly (PACE) is a comprehensive program for Medicaid only participants or those who have both Medicare and Medicaid. This program is responsible for all primary acute and long-term care services at home or in healthcare facilities. PACE is redefining the patient experience for adults 55 years and older through our determination and vision to manage a member�??s medical needs �?? not in an institution, but at home.",Seniors 55 years or older.,"8:00am-5:00pm, Mon-Fri",Call for information.,"English, Spanish",Call for information.,,"Yes, call for information.",http://miamijewishhealthsystems.org,Mailing,5200 NE Second Avenue,2nd Floor,Miami,FL ,33137,Miami-dade,No,Jeffrey P. Freimark,President and Chief Executive Officer,info@mjhha.org,305-751-8626,Yes,305-751-7223,Yes,LT-2800,Home Health Care,Primary Services,No,Florida
MIAMI JEWISH HEALTH SYSTEMS - PACE PROGRAM(889),889,MIAMI JEWISH HEALTH SYSTEMS - PACE PROGRAM,MIAMI JEWISH HEALTH SYSTEMS(881),"The Florida Program of All Inclusive Care for the Elderly (PACE) is a comprehensive program for Medicaid only participants or those who have both Medicare and Medicaid. This program is responsible for all primary acute and long-term care services at home or in healthcare facilities. PACE is redefining the patient experience for adults 55 years and older through our determination and vision to manage a member�??s medical needs �?? not in an institution, but at home.",Seniors 55 years or older.,"8:00am-5:00pm, Mon-Fri",Call for information.,"English, Spanish",Call for information.,,"Yes, call for information.",http://miamijewishhealthsystems.org,Physical,5200 NE Second Avenue,2nd Floor,Miami,FL ,33137,Miami-dade,Yes,Jeffrey P. Freimark,President and Chief Executive Officer,info@mjhha.org,305-751-8626,Yes,305-751-7223,Yes,LT-2800,Home Health Care,Primary Services,No,Florida
MIAMI JEWISH HEALTH SYSTEMS - PACE PROGRAM(889),889,MIAMI JEWISH HEALTH SYSTEMS - PACE PROGRAM,MIAMI JEWISH HEALTH SYSTEMS(881),"The Florida Program of All Inclusive Care for the Elderly (PACE) is a comprehensive program for Medicaid only participants or those who have both Medicare and Medicaid. This program is responsible for all primary acute and long-term care services at home or in healthcare facilities. PACE is redefining the patient experience for adults 55 years and older through our determination and vision to manage a member�??s medical needs �?? not in an institution, but at home.",Seniors 55 years or older.,"8:00am-5:00pm, Mon-Fri",Call for information.,"English, Spanish",Call for information.,,"Yes, call for information.",http://miamijewishhealthsystems.org,Mailing,5200 NE Second Avenue,2nd Floor,Miami,FL ,33137,Miami-dade,No,Jeffrey P. Freimark,President and Chief Executive Officer,info@mjhha.org,305-751-8626,Yes,855-737-7223,No,LT-2800,Home Health Care,Primary Services,No,Florida
MIAMI JEWISH HEALTH SYSTEMS - PACE PROGRAM(889),889,MIAMI JEWISH HEALTH SYSTEMS - PACE PROGRAM,MIAMI JEWISH HEALTH SYSTEMS(881),"The Florida Program of All Inclusive Care for the Elderly (PACE) is a comprehensive program for Medicaid only participants or those who have both Medicare and Medicaid. This program is responsible for all primary acute and long-term care services at home or in healthcare facilities. PACE is redefining the patient experience for adults 55 years and older through our determination and vision to manage a member�??s medical needs �?? not in an institution, but at home.",Seniors 55 years or older.,"8:00am-5:00pm, Mon-Fri",Call for information.,"English, Spanish",Call for information.,,"Yes, call for information.",http://miamijewishhealthsystems.org,Physical,5200 NE Second Avenue,2nd Floor,Miami,FL ,33137,Miami-dade,Yes,Jeffrey P. Freimark,President and Chief Executive Officer,info@mjhha.org,305-751-8626,Yes,855-737-7223,No,LT-2800,Home Health Care,Primary Services,No,Florida
CITY OF MIAMI - DISABILITIES PROGRAMS(903),903,CITY OF MIAMI - DISABILITIES PROGRAMS,CITY OF MIAMI PARKS AND RECREATION DEPARTMENT(900),Offers comprehensive recreation and developmental programs for disabled youths and adults. Programs are developed and held in the community and at various parks.,Serves only individuals with developmental and intellectual disabilities and some physical impairments.,"8:00am-5:00pm, Mon-Fri",Please call for more detailed information.,"English, Spanish","Fees based on programs, please call for specific program fees.",,"Yes, please call Jenny Kelchner at 305-960-4666.",www.ci.miami.fl.us/parks,Mailing,444 SW 2nd Avenue,8th Floor,Miami,FL ,33130,Miami-dade,No,Rafael Abreu,Program Leader,Rabreu@miamigov.com,305-960-4960,No,305-960-4975,No,PL-7000,Recreational Activities/Sports,Primary Services,No,Florida
CITY OF MIAMI - DISABILITIES PROGRAMS(903),903,CITY OF MIAMI - DISABILITIES PROGRAMS,CITY OF MIAMI PARKS AND RECREATION DEPARTMENT(900),Offers comprehensive recreation and developmental programs for disabled youths and adults. Programs are developed and held in the community and at various parks.,Serves only individuals with developmental and intellectual disabilities and some physical impairments.,"8:00am-5:00pm, Mon-Fri",Please call for more detailed information.,"English, Spanish","Fees based on programs, please call for specific program fees.",,"Yes, please call Jenny Kelchner at 305-960-4666.",www.ci.miami.fl.us/parks,Mailing,444 SW 2nd Avenue,8th Floor,Miami,FL ,33130,Miami-dade,No,Adin Sadin,Special Education Teacher,asadin@miamigov.com,305-960-4960,No,305-960-4975,No,PL-7000,Recreational Activities/Sports,Primary Services,No,Florida
CITY OF MIAMI - DISABILITIES PROGRAMS(903),903,CITY OF MIAMI - DISABILITIES PROGRAMS,CITY OF MIAMI PARKS AND RECREATION DEPARTMENT(900),Offers comprehensive recreation and developmental programs for disabled youths and adults. Programs are developed and held in the community and at various parks.,Serves only individuals with developmental and intellectual disabilities and some physical impairments.,"8:00am-5:00pm, Mon-Fri",Please call for more detailed information.,"English, Spanish","Fees based on programs, please call for specific program fees.",,"Yes, please call Jenny Kelchner at 305-960-4666.",www.ci.miami.fl.us/parks,Mailing,444 SW 2nd Avenue,8th Floor,Miami,FL ,33130,Miami-dade,No,Nadia Arguelles,Program Director,narguelles@miamigov.com,305-960-4960 x2,Yes,305-960-4975,No,PL-7000,Recreational Activities/Sports,Primary Services,No,Florida
CITY OF MIAMI - DISABILITIES PROGRAMS(903),903,CITY OF MIAMI - DISABILITIES PROGRAMS,CITY OF MIAMI PARKS AND RECREATION DEPARTMENT(900),Offers comprehensive recreation and developmental programs for disabled youths and adults. Programs are developed and held in the community and at various parks.,Serves only individuals with developmental and intellectual disabilities and some physical impairments.,"8:00am-5:00pm, Mon-Fri",Please call for more detailed information.,"English, Spanish","Fees based on programs, please call for specific program fees.",,"Yes, please call Jenny Kelchner at 305-960-4666.",www.ci.miami.fl.us/parks,Mailing,444 SW 2nd Avenue,8th Floor,Miami,FL ,33130,Miami-dade,No,Rafael Abreu,Program Leader,Rabreu@miamigov.com,305-960-4960,No,305-960-4960,Yes,PL-7000,Recreational Activities/Sports,Primary Services,No,Florida
CITY OF MIAMI - DISABILITIES PROGRAMS(903),903,CITY OF MIAMI - DISABILITIES PROGRAMS,CITY OF MIAMI PARKS AND RECREATION DEPARTMENT(900),Offers comprehensive recreation and developmental programs for disabled youths and adults. Programs are developed and held in the community and at various parks.,Serves only individuals with developmental and intellectual disabilities and some physical impairments.,"8:00am-5:00pm, Mon-Fri",Please call for more detailed information.,"English, Spanish","Fees based on programs, please call for specific program fees.",,"Yes, please call Jenny Kelchner at 305-960-4666.",www.ci.miami.fl.us/parks,Mailing,444 SW 2nd Avenue,8th Floor,Miami,FL ,33130,Miami-dade,No,Adin Sadin,Special Education Teacher,asadin@miamigov.com,305-960-4960,No,305-960-4960,Yes,PL-7000,Recreational Activities/Sports,Primary Services,No,Florida
CITY OF MIAMI - DISABILITIES PROGRAMS(903),903,CITY OF MIAMI - DISABILITIES PROGRAMS,CITY OF MIAMI PARKS AND RECREATION DEPARTMENT(900),Offers comprehensive recreation and developmental programs for disabled youths and adults. Programs are developed and held in the community and at various parks.,Serves only individuals with developmental and intellectual disabilities and some physical impairments.,"8:00am-5:00pm, Mon-Fri",Please call for more detailed information.,"English, Spanish","Fees based on programs, please call for specific program fees.",,"Yes, please call Jenny Kelchner at 305-960-4666.",www.ci.miami.fl.us/parks,Mailing,444 SW 2nd Avenue,8th Floor,Miami,FL ,33130,Miami-dade,No,Nadia Arguelles,Program Director,narguelles@miamigov.com,305-960-4960 x2,Yes,305-960-4960,Yes,PL-7000,Recreational Activities/Sports,Primary Services,No,Florida
MIAMI COALITION - TASK FORCES(982),982,MIAMI COALITION - TASK FORCES,MIAMI COALITION FOR A SAFE AND DRUG-FREE COMMUNITY(981),"The Miami Coalition Task Forces are comprised of volunteers representing a wide range of resources in terms of their expertise and experience relative to  the drug abuse problem. The five task forces work on projects and activities that involve creative solutions to substance abuse issues. The task forces are:  Law Enforcement Task Force, Public Information Task Force, Schools Task Force, Religious Task Force, and the Intervention, Treatment and Recovery Task Force.",Miami-Dade County residents.,"8:30am-5:00pm, Mon-Fri",Call for information.,"English, Spanish",None.,,Yes.  Visit website for more information.,www.miamicoalition.org,Mailing,1205 Sunset Rd,2nd Floor,Miami,FL ,33143,Miami-dade,No,Douglas Hughes,Executive Director,dhughes@miamicoalition.org,954-594-1000,Yes,786-242-8759,No,PX,Volunteer Opportunities,Primary Services,No,Florida
MIAMI COALITION - TASK FORCES(982),982,MIAMI COALITION - TASK FORCES,MIAMI COALITION FOR A SAFE AND DRUG-FREE COMMUNITY(981),"The Miami Coalition Task Forces are comprised of volunteers representing a wide range of resources in terms of their expertise and experience relative to  the drug abuse problem. The five task forces work on projects and activities that involve creative solutions to substance abuse issues. The task forces are:  Law Enforcement Task Force, Public Information Task Force, Schools Task Force, Religious Task Force, and the Intervention, Treatment and Recovery Task Force.",Miami-Dade County residents.,"8:30am-5:00pm, Mon-Fri",Call for information.,"English, Spanish",None.,,Yes.  Visit website for more information.,www.miamicoalition.org,Physical,1205 Sunset Rd,2nd Floor,Miami,FL ,33143,Miami-dade,Yes,Douglas Hughes,Executive Director,dhughes@miamicoalition.org,954-594-1000,Yes,786-242-8759,No,PX,Volunteer Opportunities,Primary Services,No,Florida
MIAMI COALITION - TASK FORCES(982),982,MIAMI COALITION - TASK FORCES,MIAMI COALITION FOR A SAFE AND DRUG-FREE COMMUNITY(981),"The Miami Coalition Task Forces are comprised of volunteers representing a wide range of resources in terms of their expertise and experience relative to  the drug abuse problem. The five task forces work on projects and activities that involve creative solutions to substance abuse issues. The task forces are:  Law Enforcement Task Force, Public Information Task Force, Schools Task Force, Religious Task Force, and the Intervention, Treatment and Recovery Task Force.",Miami-Dade County residents.,"8:30am-5:00pm, Mon-Fri",Call for information.,"English, Spanish",None.,,Yes.  Visit website for more information.,www.miamicoalition.org,Mailing,1205 Sunset Rd,2nd Floor,Miami,FL ,33143,Miami-dade,No,Douglas Hughes,Executive Director,dhughes@miamicoalition.org,954-594-1000,Yes,866-305-7365 x2,Yes,PX,Volunteer Opportunities,Primary Services,No,Florida
MIAMI COALITION - TASK FORCES(982),982,MIAMI COALITION - TASK FORCES,MIAMI COALITION FOR A SAFE AND DRUG-FREE COMMUNITY(981),"The Miami Coalition Task Forces are comprised of volunteers representing a wide range of resources in terms of their expertise and experience relative to  the drug abuse problem. The five task forces work on projects and activities that involve creative solutions to substance abuse issues. The task forces are:  Law Enforcement Task Force, Public Information Task Force, Schools Task Force, Religious Task Force, and the Intervention, Treatment and Recovery Task Force.",Miami-Dade County residents.,"8:30am-5:00pm, Mon-Fri",Call for information.,"English, Spanish",None.,,Yes.  Visit website for more information.,www.miamicoalition.org,Physical,1205 Sunset Rd,2nd Floor,Miami,FL ,33143,Miami-dade,Yes,Douglas Hughes,Executive Director,dhughes@miamicoalition.org,954-594-1000,Yes,866-305-7365 x2,Yes,PX,Volunteer Opportunities,Primary Services,No,Florida
MIAMI COALITION - TASK FORCES(982),982,MIAMI COALITION - TASK FORCES,MIAMI COALITION FOR A SAFE AND DRUG-FREE COMMUNITY(981),"The Miami Coalition Task Forces are comprised of volunteers representing a wide range of resources in terms of their expertise and experience relative to  the drug abuse problem. The five task forces work on projects and activities that involve creative solutions to substance abuse issues. The task forces are:  Law Enforcement Task Force, Public Information Task Force, Schools Task Force, Religious Task Force, and the Intervention, Treatment and Recovery Task Force.",Miami-Dade County residents.,"8:30am-5:00pm, Mon-Fri",Call for information.,"English, Spanish",None.,,Yes.  Visit website for more information.,www.miamicoalition.org,Mailing,1205 Sunset Rd,2nd Floor,Miami,FL ,33143,Miami-dade,No,Douglas Hughes,Executive Director,dhughes@miamicoalition.org,954-594-1000,Yes,786-242-8759,No,RX-8250,Substance Abuse Education/Prevention,Primary Services,No,Florida
